state,year,index
Johor,2010,99.99583333333332
Johor,2011,102.44285714285715
Johor,2012,104.54880952380952
Johor,2013,106.88214285714287
Johor,2014,110.65654761904761
Johor,2015,115.04345238095237
Johor,2016,119.00416666666668
Johor,2017,122.25714285714287
Johor,2018,122.54642857142856
Johor,2019,123.19761904761906
Johor,2020,122.69583333333334
Johor,2021,124.08392857142856
Johor,2022,126.99464285714285
Johor,2023,130.1172619047619
Johor,2024,131.75714285714284
Kedah,2010,99.99583333333332
Kedah,2011,102.27261904761905
Kedah,2012,103.68869047619049
Kedah,2013,105.5904761904762
Kedah,2014,108.47916666666667
Kedah,2015,111.84285714285713
Kedah,2016,115.21785714285713
Kedah,2017,117.88571428571429
Kedah,2018,116.98690476190475
Kedah,2019,118.31904761904761
Kedah,2020,117.64404761904763
Kedah,2021,119.04880952380952
Kedah,2022,121.15416666666667
Kedah,2023,122.52916666666667
Kedah,2024,123.85089285714285
Kelantan,2010,100.00178571428572
Kelantan,2011,102.6452380952381
Kelantan,2012,104.23630952380952
Kelantan,2013,106.39761904761905
Kelantan,2014,109.5702380952381
Kelantan,2015,113.25
Kelantan,2016,116.61053571428572
Kelantan,2017,118.9327380952381
Kelantan,2018,119.20964285714287
Kelantan,2019,120.01011904761906
Kelantan,2020,119.52738095238094
Kelantan,2021,121.51607142857144
Kelantan,2022,123.47738095238095
Kelantan,2023,124.79523809523809
Kelantan,2024,125.7375
Melaka,2010,99.99761904761904
Melaka,2011,102.42202380952382
Melaka,2012,104.03571428571429
Melaka,2013,105.66488095238095
Melaka,2014,108.7297619047619
Melaka,2015,112.18392857142858
Melaka,2016,115.51547619047618
Melaka,2017,118.45119047619048
Melaka,2018,118.52202380952382
Melaka,2019,118.80714285714285
Melaka,2020,117.89583333333333
Melaka,2021,119.12678571428572
Melaka,2022,121.31369047619049
Melaka,2023,123.30357142857143
Melaka,2024,124.46428571428571
Negeri Sembilan,2010,99.99761904761904
Negeri Sembilan,2011,102.72857142857144
Negeri Sembilan,2012,103.68869047619049
Negeri Sembilan,2013,105.47380952380952
Negeri Sembilan,2014,108.24583333333332
Negeri Sembilan,2015,111.56607142857142
Negeri Sembilan,2016,114.34404761904761
Negeri Sembilan,2017,117.4720238095238
Negeri Sembilan,2018,118.26547619047618
Negeri Sembilan,2019,119.09583333333333
Negeri Sembilan,2020,118.225
Negeri Sembilan,2021,119.77619047619048
Negeri Sembilan,2022,121.76011904761906
Negeri Sembilan,2023,123.05595238095239
Negeri Sembilan,2024,124.20446428571428
Pahang,2010,99.99761904761904
Pahang,2011,102.29285714285714
Pahang,2012,103.92857142857143
Pahang,2013,105.7875
Pahang,2014,108.71130952380952
Pahang,2015,111.66011904761906
Pahang,2016,114.63511904761906
Pahang,2017,116.90535714285713
Pahang,2018,117.23630952380952
Pahang,2019,117.72380952380952
Pahang,2020,117.52678571428571
Pahang,2021,119.3845238095238
Pahang,2022,121.55952380952381
Pahang,2023,124.04107142857144
Pahang,2024,125.81875000000001
Perak,2010,99.99761904761904
Perak,2011,102.35119047619048
Perak,2012,103.35119047619048
Perak,2013,104.84642857142858
Perak,2014,107.60357142857144
Perak,2015,110.8452380952381
Perak,2016,113.51845238095237
Perak,2017,115.79821428571428
Perak,2018,116.27202380952382
Perak,2019,117.21666666666667
Perak,2020,116.70476190476191
Perak,2021,118.56190476190477
Perak,2022,121.08214285714286
Perak,2023,123.58511904761905
Perak,2024,124.71160714285715
Perlis,2010,100.00238095238096
Perlis,2011,102.92678571428571
Perlis,2012,104.01845238095237
Perlis,2013,105.89166666666667
Perlis,2014,108.27440476190475
Perlis,2015,110.94404761904761
Perlis,2016,113.86666666666666
Perlis,2017,116.55416666666666
Perlis,2018,116.38988095238095
Perlis,2019,117.37619047619049
Perlis,2020,116.62857142857142
Perlis,2021,118.55595238095239
Perlis,2022,120.90238095238094
Perlis,2023,122.95059523809525
Perlis,2024,124.35714285714286
Pulau Pinang,2010,99.99880952380951
Pulau Pinang,2011,102.63511904761906
Pulau Pinang,2012,104.28333333333333
Pulau Pinang,2013,105.71845238095239
Pulau Pinang,2014,108.7547619047619
Pulau Pinang,2015,112.2547619047619
Pulau Pinang,2016,115.79464285714286
Pulau Pinang,2017,119.41547619047618
Pulau Pinang,2018,119.8375
Pulau Pinang,2019,120.91369047619048
Pulau Pinang,2020,120.3202380952381
Pulau Pinang,2021,121.89404761904763
Pulau Pinang,2022,124.75416666666668
Pulau Pinang,2023,126.45416666666667
Pulau Pinang,2024,128.83392857142857
Sabah,2010,99.99880952380951
Sabah,2011,102.52440476190475
Sabah,2012,104.21071428571429
Sabah,2013,107.22619047619048
Sabah,2014,109.82738095238095
Sabah,2015,112.93869047619049
Sabah,2016,115.45595238095237
Sabah,2017,117.49464285714285
Sabah,2018,117.4672619047619
Sabah,2019,117.57440476190476
Sabah,2020,116.68988095238096
Sabah,2021,118.02916666666667
Sabah,2022,120.43392857142858
Sabah,2023,122.43928571428572
Sabah,2024,123.63392857142857
Sarawak,2010,100.00654761904761
Sarawak,2011,102.01309523809525
Sarawak,2012,103.09285714285713
Sarawak,2013,104.35059523809525
Sarawak,2014,106.95357142857144
Sarawak,2015,109.64285714285714
Sarawak,2016,111.95059523809525
Sarawak,2017,114.32083333333334
Sarawak,2018,114.22619047619048
Sarawak,2019,114.17857142857143
Sarawak,2020,113.36666666666666
Sarawak,2021,114.76785714285714
Sarawak,2022,117.1202380952381
Sarawak,2023,119.5047619047619
Sarawak,2024,121.25089285714286
Selangor,2010,99.99761904761904
Selangor,2011,102.89761904761905
Selangor,2012,104.18571428571428
Selangor,2013,106.12619047619049
Selangor,2014,109.55714285714285
Selangor,2015,113.25059523809523
Selangor,2016,116.80595238095239
Selangor,2017,119.81964285714287
Selangor,2018,120.31190476190477
Selangor,2019,121.03214285714287
Selangor,2020,121.10416666666667
Selangor,2021,123.02678571428571
Selangor,2022,126.57321428571429
Selangor,2023,129.29404761904763
Selangor,2024,131.34196428571428
Terengganu,2010,99.99821428571428
Terengganu,2011,102.30059523809524
Terengganu,2012,103.73035714285714
Terengganu,2013,105.92380952380952
Terengganu,2014,108.8845238095238
Terengganu,2015,112.51369047619048
Terengganu,2016,115.81071428571428
Terengganu,2017,117.98154761904763
Terengganu,2018,117.97559523809525
Terengganu,2019,118.62857142857142
Terengganu,2020,118.4452380952381
Terengganu,2021,120.72440476190476
Terengganu,2022,122.9375
Terengganu,2023,124.37202380952381
Terengganu,2024,125.71339285714285
W.P. Kuala Lumpur,2010,99.99940476190477
W.P. Kuala Lumpur,2011,102.42023809523809
W.P. Kuala Lumpur,2012,103.54107142857144
W.P. Kuala Lumpur,2013,104.8672619047619
W.P. Kuala Lumpur,2014,107.75357142857142
W.P. Kuala Lumpur,2015,111.77142857142856
W.P. Kuala Lumpur,2016,115.37916666666668
W.P. Kuala Lumpur,2017,117.95535714285714
W.P. Kuala Lumpur,2018,118.40892857142858
W.P. Kuala Lumpur,2019,118.87380952380951
W.P. Kuala Lumpur,2020,118.62738095238096
W.P. Kuala Lumpur,2021,120.21845238095239
W.P. Kuala Lumpur,2022,122.56130952380951
W.P. Kuala Lumpur,2023,124.37619047619049
W.P. Kuala Lumpur,2024,125.73571428571428
W.P. Labuan,2010,99.99464285714285
W.P. Labuan,2011,102.12678571428572
W.P. Labuan,2012,103.85654761904763
W.P. Labuan,2013,106.61785714285713
W.P. Labuan,2014,109.83571428571429
W.P. Labuan,2015,111.96190476190475
W.P. Labuan,2016,113.22261904761906
W.P. Labuan,2017,115.14642857142856
W.P. Labuan,2018,115.73333333333333
W.P. Labuan,2019,116.28214285714287
W.P. Labuan,2020,114.92380952380952
W.P. Labuan,2021,116.35595238095237
W.P. Labuan,2022,117.88869047619048
W.P. Labuan,2023,119.4654761904762
W.P. Labuan,2024,120.41607142857143
W.P. Putrajaya,2010,99.99285714285713
W.P. Putrajaya,2011,102.26547619047618
W.P. Putrajaya,2012,103.8547619047619
W.P. Putrajaya,2013,105.20059523809525
W.P. Putrajaya,2014,107.83571428571429
W.P. Putrajaya,2015,111.9470238095238
W.P. Putrajaya,2016,115.94999999999999
W.P. Putrajaya,2017,118.76785714285714
W.P. Putrajaya,2018,117.80833333333332
W.P. Putrajaya,2019,119.31488095238096
W.P. Putrajaya,2020,119.62678571428572
W.P. Putrajaya,2021,122.55595238095239
W.P. Putrajaya,2022,128.74940476190477
W.P. Putrajaya,2023,131.3529761904762
W.P. Putrajaya,2024,132.97589285714284
